Tweets,Sentiment_Score,Relative_Time,Continent_Code,Reach
stand fight vladimir putin best get fur hat moscow come,2,17,EUR,48
let revisit tweet month set reminder calendar one year disaster biden dems one sitting long time great thanks big guy joe,0,13,NAM,44
hiding joe biden admin begs court bury bombshell report dominion voting machine via,0,5,NAM,52
nothing like hunter biden manipulation ukrainian asset get united state war ukrainian paid front protection deliver yes way united state tax dollar daddy campaign promise,0,7,NAM,6
honorable mention last year trump presidency declassified intel disclosed unlike ever notable effort cnn biden reject trump attempt shield white house visitor log including day january attack via,4,8,NAM,19
sadly past sunday refuse holy communion former vice president father morey said,0,16,NAM,30
hey twitter need apologize president donald john trump misinformation kind told truth truth hillary barack obama james comey clapper brennan apologize banished love,4,1,NAM,8
dan crenshaw proof veterns war member isi policy president geoerge bush provided trey gowdy patriot act investigate benghazi isi patriot act american soil iraq oil gas price come patriot act,0,3,NAM,34
brief alchemist far turning metal gold president opposite patriot post,0,6,NAM,51
report revealed way trump supporter allegedly hope remove president office,2,22,NAM,26
sending stark warning american say could real economic consequence home especially gas pump,0,11,NAM,2
biden tapping step ousted science adviser president replacing top science adviser resigned cloud two individual split position,4,15,NAM,11
report russian president vladimir putin signaled want peaceful path crisis president promised would continue give diplomacy every chance struck skeptical tone moscow intention,4,6,NAM,29
china accused usa playing threat warfare creating tension president warned russian troop still massed near border following moscow announcement partial pullback,0,20,NAM,4
dementia joe also appeared forget administration served vice president started cancer moonshot worked hard administration served last said biden,0,0,NAM,38
uncalled unnecessary inflation hurting everyone biden defending southern border bringing undue harm american america impeach,0,7,NAM,9
new strategy promotes asean centrality via southeast asia underscore ally amp leading regional partner indonesia malaysia singapore amp vietnam,4,10,NAM,9
president rejected former president donald executive privilege claim ordered visitor log released panel investigating deadly attack according letter released wednesday,4,16,NAM,46
president senate democrat first time facing opposition district court nominee home state ser,2,1,NAM,5
warns russia invasion still possible aggressive speech vladimir putin,0,15,NAM,37
richard nixon ronald reagan vladimir putin policy pertaining acquisition land asset,4,5,NAM,5
tell president need get vaccine need get vaccine country one planet one people must support sharing manufacturing help world meet vaccination,4,1,NAM,52
miss made war today took nap afternoon watching band brother woke war biden take credit sotu ending pandemic stopping war never going happen anyway,0,3,NAM,1
clinton campaign senior policy advisor jake sullivan initiated phony claim trump organization communicating kremlin rewarded sullivan making national security advisor man still security clearance,4,16,NAM,12
president german chancellor olaf scholz demanding real step towards russia according statement report afp,0,12,NAM,41
yes summer president anyone say differently deep state operative,4,8,NAM,4
reporter explains biden got putin blink russian force amassed near raw story celebrating year independent journalism,4,8,NAM,7
president rejected another former president donald trump executive privilege claim deciding trump white house visitor log handed investigating attack capitol,0,9,NAM,44
get better maga world suck traitor biden reject trump attempt shield white house visitor log including day january attack cnn via,0,22,NAM,3
trump would give putin everything want never stood belief drivel spout would gone already thank god,4,0,NAM,40
fuel price higher former vice president tapped oil reserve,2,17,NAM,12
story far vladimir putin opts back away invading even temporarily matched every putin chess move effective counter,4,3,NAM,11
german chancellor olaf scholz president urged russia take real step toward statement phone call,2,9,EUR,11
order release trump white house log congress,2,17,NAM,8
president ordering release trump white house visitor log house committee investigating riot,0,21,NAM,52
foreign policy crisis colliding one president political vulnerability rising gasoline price inflation high biden warning american gas price could get higher russia invades,0,13,NAM,36
definitely together putin interesting dialogue elk meat dinner weed vodka also call biden help line upset join debate better showdown joe rogan war,4,11,NAM,33
fear russian attack remaining distinct possibility president sending stark warning american say could real economic consequence home especially gas pump,0,5,NAM,29
biden tap green energy reserve keystone worker say daily caller,4,23,NAM,14
german chancellor olaf scholz president agree situation must assessed extremely serious still risk russian military aggression german government spokesperson steffen hebestreit said,0,10,EUR,19
china accused threat warfare creating tension president warned russian troop still massed near border following moscow announcement partial pullback,0,14,NAM,54
failed trump economy made much worse trump disastrous amp deadly covid virus one reason elected president biden set record million job added,0,15,NAM,4
biden admin defies court ruling hold required oil drilling lease sale biden admin intent preventing american producer developing energy home meet country need lower gas price,0,9,NAM,42
conflict could lead inflation analysis show via,0,24,EUR,5
chief diplomat warned russia could faking partial withdrawal troop,0,2,EUR,1
hope next gop president release biden china note release donald trump white house visitor log committee via,4,2,NAM,40
joe biden leonard peltier covid year prison hospitalize free sign petition via,2,8,NAM,34
president exchanged view situation around agreed situation region extremely serious view massive russian troop buildup border area,0,7,NAM,0
reporter explains biden got putin blink russian force amassed near thank god smart diplomatic president bunch like last guy,4,17,NAM,31
president ordering release former president donald trump white house visitor log part,2,19,NAM,2
germany olaf scholz president call situation extremely serious time india,0,17,ASI,50
russian president vladimir putin signaled want peaceful path crisis president promised would continue give diplomacy every chance,4,16,NAM,47
party politics president founder bnc contributor join discus former president donald trump current president battle,4,0,NAM,37
say russia played bennington john maus band played round round ariel pink confronted russia stated modern classic people still listen michael jackson people still listen bowie,4,2,NAM,15
reporter explains biden got putin blink russian force amassed near,2,3,NAM,13
brutally snub invite despite desperate plea russia war loom world news,0,22,ASI,23
anyone lick sense grasp history know modern time america exporting democracy world enforcing capitalism form golf score card president biden word got dahminate well joe,0,23,ASI,46
biden joke zelensky say info imminent russian war tell come kyiv,0,9,NAM,18
going work like devil bring gas price president promised last week one idea part plan via,4,1,NAM,44
senate president biden stop prevent division hard earned asset afghanistan jetzt unterschreiben via,0,18,EUR,32
took coming office sudden putin trying advance say,0,9,NAM,9
fuck democratic bullshit guarantee trump still president would talk war,0,16,EUR,19
russia conflict russia attack time said appeal wage war,0,12,ASI,12
told putin invading cool long occurred hour est disturb nap time,0,12,NAM,37
hitting bottle little hard since spouting lie president summer inauguration occurred january least admitted president,0,11,NAM,15
sleepy making vladimir putin blink,2,7,NAM,7
cursed catastrophically low approval rating still popular trudeau national post,4,5,NAM,7
would gop need distract private citizen make sense like maybe tweet would made sense trump reelected sound odd wonder know current president,0,2,NAM,47
russia asks next invasion date coordinate vacation plan moscow official via,2,0,NAM,28
trump president giving presidential speech preparing presidential speech cpac amp need input believe better fit lead nation president trump,0,23,NAM,41
biden also announced lured former nih director francis collins retirement serve temporarily president chief science adviser,2,19,NAM,25
legacy mean lot politician like want seen guy nuke world putin give fuck got pretty wild delusion nuke russia defense posture shoot nuke government risk cool,0,4,NAM,50
russia asks next invasion date coordinate vacation plan moscow,2,14,NAM,36
well think president biden inflation joe think good enough reason,4,23,NAM,0
need know today able get released need get free blocking take military attempt thailand russia japan complete mission totally ignoring like participate,0,0,ASI,7
well safe let poor america brutally snub invite despite desperate plea russia war loom,0,4,EUR,25
biden reject trump attempt shield white house visitor log including day january attack cnnpolitics president biden right thing,0,6,NAM,35
america one move putin added troop today telling biden removing troop joe fell putin laughing joe incompetency putin know joe get act together,4,2,NAM,53
unlike gop support vladimir putin patriot support russian dictator instead president,4,13,NAM,21
panicked text started landing mark meadow phone long thousand supporter president donald trump stormed capitol stop congress certifying oof text,4,23,NAM,24
russia asks next invasion date coordinate vacation plan moscow official,2,23,NAM,20
washington feb reuters president expected ask congress defense budget exceeding billion next fiscal year pentagon seek modernize military,4,24,NAM,40
come biden kamala addressing joe biden said black community back got elected voting democrat nothing,2,0,NAM,31
biden time president failing climate crisis,0,4,NAM,16
former president claimed log subject executive privilege letter tuesday white house lawyer rejected claim saying national archive provide record within day house committee,4,20,NAM,39
american stupid anymore east europe stupid game created democrat trying transfer audience election fraud somewhere else president putin smart wise guy,0,12,NAM,55
biden strategy starting look like pretty good one better tricking guy threatened war threatening peace reporter explains biden got putin blink russian force amassed near,4,21,NAM,20
leader washington warning inflation issue could get worse disagree president say russia invades could cost,0,1,NAM,13
biden putin set diplomatic victory dementia joe biden give pipeline,2,24,NAM,55
always know president amp know pay biden president inflation killing everybody amp gas price sky high fix thing got make rule hurting plan presented joe vacation,0,18,NAM,3
biden scholz discus result talk putin zelensky white house president german chancellor olaf scholz discussed result recent talk russian ukrainian president vladimir putin vladimir,2,11,EUR,6
russian video show tank leaving annexed crimea disputing claim according president russian troop still amassed near border,2,19,NAM,26
president expected ask congress billion defense budget next fiscal year pentagon seek modernize military eclipsing record budget request former president donald trump,2,24,ASI,49
brutally snub invite despite desperate plea russia war loom,0,22,NAM,52
know war russia changed online fighting american president,0,2,ASI,17
president biden ordering release trump white house visitor log house committee investigating riot january rejecting former president trump claim executive privilege,2,18,NAM,38
biden russia better invade putin going biden russia seriously better invade zelensky shut going russia invade tlibs hail,0,10,NAM,9
people sign petition share much lend hand senate president biden stop prevent division hard earned asset afghanistan jetzt unterschreiben,4,10,EUR,40
putin young ricky nelson used say ozzie harriet mess around boy,4,7,NAM,34
russia going invade absolute moron shitlibs fault also warmonger getting,0,24,NAM,1
biden perpetrating flagrant crime humanity country military rampaged year amp likely killed million prominent person calling biden impeachment amp prosecution,0,23,NAM,22
joy reid fox trump tom hank saved america former president donald trump worst ever,4,14,NAM,17
republican voted trump went gabbard would make look like actual victory trump absolutely crushed especially among suburban woman,2,1,NAM,48
former president donald trump border wall provided promised result president need abandon failed project,0,21,NAM,28
citizen russia enemy say reveals human cost russia attack would immense,0,0,SAM,35
russia add troop near border official,2,3,ASI,20
breaking recent satellite image russia belarus confirm saber rattling continues,0,5,NAM,18
president neville chamberlain moment prematurely celebrating thought russian president vladimir putin removing trops border turn white house news yesterday fake,0,16,NAM,17
president rejected former president donald trump executive privilege claim ordered white house visitor log released panel investigating deadly attack,2,11,NAM,46
warns russia invasion still possible aggressive speech via,0,5,NAM,47
funniest response yet people want war medium circus covering russian troop already pulled away border going home drill,0,0,NAM,1
remember big bad orange mean tweeter president anymore move day president imagine world would like spent energy something actually make difference,4,20,NAM,54
anyone think people gon change crazier repubs fully embraced authoritarianism pushing putin invade blame pres biden news putin biggest asset west russian could better,4,23,NAM,7
guy bitch complain commander chief joseph robinette biden bless respect government official joe experience know,0,0,NAM,53
stand military explain climate change greatest threat,4,17,NAM,38
president mince word blaming former president trump inciting january attack capitol,0,6,NAM,47
day later guy still bury biden boom pissing laughing,4,6,NAM,31
white house say president track make selection fill upcoming,2,17,NAM,37
campaign colluded russia steele dossier biden kid took money moscow mayor biden giving putin know stop invasion biden say got win fake trump collusion bother stuff,2,22,NAM,0
putin could easily launched virulent propaganda campaign claiming invade mexico minute threatening severe repercussion taking credit invasion fails occur bold stance biden regime,0,15,NAM,26
joe manchin floor biden supreme court ser say would stop second pick close election via,4,14,NAM,25
america soldier sailor airman marine guardsman respected around world courage professionalism patriotism president longer good enough new commander chief want troop woke,0,4,NAM,108
love president honest american people trump lied several time every single day,4,18,NAM,118
enters white house donald trump say right take presidency responds perhaps left,2,2,NAM,85
crisis govt mull flight bring student india new delhi february russian troop partially pulled border area tension remained high president warned,0,0,NAM,119
latest german chancellor olaf scholz president agree situation must assessed extremely serious still risk russian military aggression german government spokesperson steffen hebestreit said wednesday,0,2,ASI,33
friend keep telling joe old president well sure could run year ago biden time,4,24,NAM,42
conflict told citizen leave immediate effect russia attack anytime,0,3,ASI,52
russian president signaled want peaceful path president promised would continue give diplomacy every chance struck sceptical tone moscow intention,0,23,NAM,71
poo admitted russia ship fart product sleepy defended going brought nft thought artificial intelligence wish butt make,0,8,NAM,50
biden ruled coming direct defense yet drumbeat war ironically coming russia washington show russia outsmarted america amp europe royally screwed match putin,0,9,ASI,26
guess putin thought president going easy pushover like donald trump always groveling foot,0,6,NAM,91
really slap face president amp kamala harris hear people say done may given wanted damn sure giving need,4,21,NAM,114
russia claim pulling troop back official say press red button joe sleeping allowed,0,15,NAM,115
though trump maverick leader kept china russia leash dare tweak thumb usa softie compared,2,3,ASI,16
biden administration defies court ruling opts holding oil drilling sale via let drill oil buy putin begs saudi drill crazy action expected biden,0,15,NAM,41
news russia decided invade approval northern border inundated canadian refugee fleeing communism climate changed today winter death officially expires march,0,1,NAM,62
russian military drill conclude troop withdrawal begin white house proclaims stunning strength brilliant strategic thinking averted thermonuclear war,4,13,NAM,65
stephen king happy new administration worst president history president trump incredible president,0,10,NAM,63
china accused united state playing threat warfare creating tension president warned russian troop still massed near border following moscow,0,1,EUR,0
russian invasion happen anytime white house russian invasion happen anytime white house said wednesday president announced plan dispatch vice president kamala harris,2,0,ASI,120
spent time worrying happening america instead russia america would shit,0,19,NAM,30
many forgotten joe office one year many dems ready boot blocked every turn republican apparently trust putin higher number president biden vote blue senate must majority,4,12,NAM,17
president biden say everything power provide relief conflict disrupt supply oil gas fact check team looked option,4,18,NAM,30
upcoming invasion like plan vacation diplomat mock medium according politico newspaper president claimed russia could allegedly attack february,0,24,NAM,49
world wait russia next move president warning invasion would direct impact energy price already contributing highest inflation year story,0,10,NAM,68
urge putin back brink war sends message peace russian,0,10,NAM,85
president ordering release trump white house visitor log house committee investigating riot january,0,10,AUS,27
opinion sleepy making vladimir putin blink new york time via,2,10,NAM,50
could call president sweetheart guy true romantic leading president mass shooting death mass shooting valentine day america,4,12,NAM,3
president biden need get least two republican sers side joe sinema never agree build back better even supreme court justice forget bipartisanship president like,4,23,NAM,48
washington president ordering release trump white house visitor log house committee investigating riot rejecting former president donald trump claim executive privilege,0,1,NAM,32
according president russian troop still amassed cock ball,0,15,NAM,36
international committee fourth international icfi world socialist web site unequivocally oppose reckless drive washington ally instigate war russia,0,11,EUR,7
france urge revamp europe security order face russia threat french foreign minister drian say emerged stronger current crisis read,0,16,EUR,24
send new battle group eastern europe russia fails deliver,0,22,SAM,22
attempting join massive threat russian national security biggest european border thus explaining troop new western force russia permanently deterrent imo,4,14,NAM,47
joint statement issued senior group european russian security expert outlined plan defusing crisis see deep cut commission statement,0,5,NAM,47
latest update say sign russia crisis news jazeera,0,18,NAM,55
putin troop way say russia yet situation border abc news,2,19,AUS,16
say sign russia pulling back troop near via,2,6,NAM,11
crisis russia take seriously anymore,0,4,AUS,28
considerable time issue russia huge soft power idea russia seriously pitched dismissed outlandish putin lost cool rest history say,4,11,EUR,51
russia could settle moratorium ukrainian membership say two decade something alliance able accept plan kyiv membership anyway via,4,5,NAM,15
chief question russian troop retreat,4,9,ASI,36
sign russian withdrawal border yet according president voldymyr zelenskyy,2,14,NAM,23
robust strategy must bolster defense capability meet challenge effectively pick read,4,3,NAM,32
confirming assessment chief defence intelligence said seen evidence withdrawn force border,4,12,EUR,19
speaking meeting defence minister brussels jens stoltenberg stress sign military russia,0,13,EUR,36
live update increasing troop number say kremlin issue energy supply warning europe,0,3,NAM,29
blame putin demanding stay otherwise make usa giant hypocrite say thing cuba entire western hemisphere,0,0,NAM,15
satellite image prove russian failure withdraw troop say,0,1,EUR,28
today satellite imagery show russian military building field hospital near border,2,21,EUR,8
deem russia persistent threat europe add battlegroups response,0,2,NAM,20
remember saying side need deescalate tension view formed keep russia check maybe talk allied nation making statement would good,4,21,NAM,26
russia continuing military buildup around chief said seen via,2,20,NAM,54
shitshow unity russia latest military movement stoke confusion,0,6,NAM,27
member let putin try invading country real test,2,8,NAM,6
russia still building force border say top official,4,21,AUS,21
biden question stand everything place pandemic biden reversed entering office highest gdp best employment energy independence controlled border paying fair share war joe change chuckie must fix,4,7,NAM,54
former head sir given startling interview radio outline view russia never intention invading amp threat greatly exaggerated western leader,0,20,NAM,8
ukrainian pacifist say russia share responsibility avoid war via,0,21,NAM,36
russia increasing troop number say kremlin issue energy supply warning europe,0,13,EUR,43
alliance chief say russia continuing military near border,2,5,EUR,3
maybe putin upset biden pushing join russia army maybe like could wrong,0,1,NAM,10
germany need nord stream expect germany putting ukrainian adventurism think france either force conflict donbas may split also split partition may sensible,4,12,NAM,22
bluff expensive work strengthened military increased sentiment neighboring country led presence eastern europe russian force massing preparing infrastructure seems like putin still planned,4,24,NAM,51
germany tired wating assumed putin would next meaning stand moveback base unified see putin need understand cutting germany investment yearly,0,18,EUR,21
ally bolstered defense sending troop equipment amp began providing drone kyiv prepares unplug russian electricity amid fear invasion,0,7,NAM,29
tulsi gabbard fox talking inflation gas price amp russia,0,21,NAM,6
well fox news china say russia threat via,0,13,NAM,35
important know announced russian troop withdrawal exercise crimea,4,15,NAM,37
blamed russia ongoing military escalation united state,0,8,NAM,22
think better wake going fight war democracy china russia,0,5,NAM,19
sign withdrawal troop near chief say news,2,4,NAM,45
sign withdrawal troop near chief say via,2,16,NAM,23
firstft say russian troop number still rising near,2,14,EUR,48
ally gang russia despite troop draw full show via,2,13,NAM,44
cite continuing russian threat despite pullback claim washington post,0,22,NAM,52
breaking news reject claim russian troop pulling back still russia,0,17,NAM,6
chief contradicts russia withdrawal claim say proof pulling back,0,20,EUR,19
fyi stalin russia died georgia putin actually want join took better operation western europe people want sell arm would like,0,6,EUR,30
russia want autonomous region within prevent joining want chaos kill nordstream sell gas usual rich powerful stoking conflict gain power make money,0,0,NAM,8
think russia going keep withdrawing troop sends troop border wont using intimidation get russia back,4,10,NAM,34
ukrainian president volodymyr zelensky say evidence russia withdrawing troop,2,18,NAM,51
say russian troop number still rising near border,2,18,EUR,26
russia invaded involved ready battle russian mil devastated superior tech capability would significant military defeat russia battle ready deployed least day,0,23,EUR,2
let take nice long look current crisis right russia troop give take border member state want still sending troop border escalating situation,0,4,NAM,11
bolton supporter stretch point agree bolton love war personally believe war profiteer right right would disbanded rolled red carpet right kyiv russian troop,4,23,NAM,29
current crisis russia west fueled fallacious claim russian president vladimir putin misled soviet union would expand east source link,0,14,NAM,4
russia weapon venezuelan cuba mexico border hypocrisy,0,5,EUR,38
biden tell putin trump never would defend every inch territory,2,10,NAM,9
warns russia still building troop hold defiant national holiday,4,8,NAM,9
sentient would invade failed state nothing liability intervention protect population ethnic russian would win mention russia rightly never let join,0,16,NAM,46
china accuses playing threat warfare russia click link detail,0,11,ASI,5
give goof mst february get invasion commenced want biden member leader stoltenberg drink hemlock commit ignore statement future start intelligence,4,16,NAM,37
anybody stop think troika tyranny true threat russia responding,0,17,NAM,5
national security doctrine clearly stipulates russia china enemy biden lying saying russia enemy,0,4,NAM,52
fascinating always doug putin clearly old trick west eyeball glued border putin really want might bearing russia goad feign innocence,4,10,EUR,1
russia west react via,0,8,NAM,12
troop sent crimea annexed putin know would respond minimal eastern member worried concerned putin irrational behaviour,0,17,EUR,41
would sent troop attack russia giving russia excuse enter pull troop finally gotten,0,13,NAM,4
weakness mistake biden trump biden standing putin trump licked putin boot daily,0,0,NAM,7
putin want granting could beginning end,4,23,EUR,44
russia afraid russia join enjoy safety benefit unity,4,20,NAM,3
washington alerted russia attack feb deadline passed mean putin backed pressure west silently agreed russian term extending washington propaganda,0,22,EUR,40
russia gon start nuclear war either,0,16,NAM,12
say still see sign russia pulling back force ukrainian border despite claim moscow troop begun returning,2,24,EUR,11
report scale troop missile eastern europe feel like fairly important part balanced reporting,4,20,EUR,11
well okay like putin admired west much russia need west already aware whole thing come bush offering membership,4,17,EUR,8
concern macron naivete amp proclivity undermine western unity overblown french president neither rogue compromise interest nonaligned european state led foster dialogue russia,0,19,EUR,52
earlier balance risk tilted upside amid lingering tension eastern europe tightening global oil supply official accused russia concentrating troop ukrainian border day moscow insisted withdrawn force,0,6,SAM,36
crisis considering new battlegroups eastern europe sign russian live,0,21,NAM,33
russia moving force border say military intelligence,4,16,EUR,29
russia still upping troop border blinken seen pullback via,2,7,EUR,14
talking country rushed join decade becoming free soviet oppression russia threaten invade reason likely,4,16,EUR,19
let remind want join russian aggression russia annexed crimea waging war donbas year row,0,5,EUR,54
word word newsletter leader warns russia still building force yet assign blame cyberattacks cdc say cautiously optimistic omicron decline,0,14,NAM,4
keep pushing war scenario russia china asserting going happen responsible tense atmosphere social instability,0,21,NAM,42
tech update buying russia claim pulling troop away let discus,2,18,EUR,5
fate rest one person hand biden putin attack russia granted serious concession would hurt diplomacy biden domestically would save countless russian ukrainian life,0,3,NAM,1
yeah russia treatment neighbor speaks getting soviet union back much putin want fuck neighbor friendly become,4,17,NAM,40
andy vermaut share russia still building troop near say submitted link comment thank,4,15,EUR,34
suggest embassy staff russia provide free membership paid seized russian asset stimulus check russian soldier feed family,4,4,NAM,0
official joined western nation saying yet see evidence russia pulling back troop near shared border russia claimed earlier week,4,14,NAM,31
little thing troop border mean would russia shrug mobilized troop polish border belarus said nothing worry,4,1,NAM,2
wonder russia would think amassed troop poland belarus border would believe,2,0,NAM,50
given happened crimea ukrainian try join imperialist russia bullying consequence,0,4,NAM,47
russia reason interest invade however thing amp tolerate massive ukr army conquest missile amp troop southern border solution simple,4,23,NAM,37
crisis latest news reject moscow claim initial pullback,0,23,NAM,15
russia invade flexing muscle showing rest world keeping poking dog bite back invade start setting base,2,17,EUR,13
russia still troop border yesterday simply reinforcing aid russia still aggressor take cringe,0,18,NAM,23
discussion move war russia forward union split time set fighting war russia,0,0,NAM,46
blaming trump inept handing russia stop gqp talking point put forth fact lie match reality,0,23,NAM,18
russian official clash status troop near world recognizes vladimir putin kgb trained lier using conflicting lie confuse bluff distract enemy,0,0,NAM,44
vladimir putin disregard presence world power anything returned back action prepared every move,0,17,NAM,32
oil gold rose wednesday united state said russia increasing troop near dovish reading minute last federal reserve meeting helped stock close mostly flat wall street,4,5,ASI,9
official say seen major withdrawal russian troop border despite announcement week putin russian military official ordered troop return home base,4,1,NAM,19
covering chief see today russia maintains massive invasion force ready attack,0,16,NAM,12
impending invasion continue see evidence russia cbs discus vladimir putin strategy delaying attack may best interest,4,22,NAM,37
interestingly know carrying exercise bridge infrastructure field hospital thousand wounded armed helicopter passing border town interesting,4,5,EUR,15
reasonable summary thing stand russia concerning discount biden speech javelin missile resolve putin risk calculator input germany macron vacillation,4,24,NAM,7
excuse brother created soviet union warsaw pact soviet union warsaw pact still come near russia border already country share border russia saying putin bully,2,23,ASI,7
believe putin blink primary goal weaken failed miserably would economic hit china bail everything lose nothing gain invasion,0,20,NAM,47
moscow demand separate treaty declined understands guarantee geographic demographic economic amp military resource say,0,24,ASI,28
else would explain massive troop presence along border potential membership appears primary source dispute ongoing negotiation even negotiating russia issue,0,16,NAM,41
please ready russian weather modification technology freeze possible busy attack donot think russia finish invade territory,4,4,ASI,25
putin may say pulling back troop official see sign putin lie see anyone buy want bet tucker carlson back putin claim based research,0,17,NAM,50
united state created vladimir putin,4,14,NAM,36
lmao invading fact actually pulling troop border probably scare tactic get back,4,5,EUR,0
russia added field hospital near border created new strategic bridge near belarus added new troop way pulling back gon quite time history,4,18,NAM,7
usa today russia increased military presence along border official senior administration official said russia added troop along ukrainian border recently contrast claim pulling back,4,20,EUR,25
fake news usa sending troop troop going country poland,0,12,NAM,35
russia increased military presence along border recent day official via,4,19,NAM,53
senior administration official said russia added troop along ukrainian border recently contrast claim pulling back,2,21,NAM,21
think putin trying find excuse reported added troop last putin want keep guessing know bomb russian force russian soil even invade,0,18,EUR,24
say russia added troop along border despite claim pullback putin trying deceive president biden,0,1,NAM,20
russia increased military presence along border recent day official say,4,14,NAM,40
president vladimir putin russia military base poland another romania evidence see threat posed eastward expansion part justification military encirclement,0,24,NAM,31
former ambassador bill taylor quincy institute lieven debate whether russian national security establishment legitimate concern war expansion,0,17,NAM,16
say sign russia pulling back troop near russia say russia secretary state antony blinken said wednesday via,2,22,NAM,39
president warning american prepare economic pain russia invades administration decides levy sanction moscow response,0,1,NAM,55
plan new possible battlegroups europe amid russia tension stoltenberg,0,24,EUR,20
still pushing narrative russia along provoking russia vlad join western world leader hesitate sacrifice city world never getting islam,0,23,NAM,13
expicitly alliance earth would want russia join russia want join,4,0,AUS,55
comment risk russian invasion greatest west part close russian encirclement high risk area possible escalation,0,9,EUR,3
deploying troop central amp south eastern europe russia accused removing troop ukrainian border hrh prince wale face police investigation claim charity secured cbe saudi businessman donating call duke york losing title,4,23,EUR,6
perfectly understandable would want join military alliance russia specifically president russia really see point view,4,21,NAM,26
circumstance putin looking excuse start war working prevent one,0,24,EUR,49
russian video show tank leaving annexed crimea disputing claim understand russia want invade anything russia want missile minute range moscow,0,12,EUR,52
take looksie map see border russia belarus russian pal pooty much care idea country footstep away russian border reason biggie,4,21,ASI,17
insight market end flat negative fomc minute minute show rate hike shrink balance sheet official accused russia concentrating troop ukrainian border crude oil slip,0,20,ASI,38
biden ask putin saying troop withdrawing america germany show troop advancing,2,7,NAM,9
russia looking strategic depth already force donbas region crimea belarus time putin something else mind moscow want dictate european security putting stop eastward expansion,4,0,NAM,40
amp independent analyst group reported russia may actually increasing force around border russia dismissed claim,2,18,ASI,34
strange since gave assurance would expand return russia agreeing german reunification moved east final move advanced outside russian border aggressor,4,18,NAM,1
putin plan backfire expanding romania ready host increased troop needed president say,4,18,NAM,22
regardless crisis end broader issue remain elevated bluffed collapse moscow bluffed putin destabilized power circle ensures perpetual hostility one leaf,0,1,NAM,17
april biggest russian military buildup near border since rattled international community moscow next russia insists simply responding military drill near territory,2,19,NAM,48
watching house hearing russia putin aggression unqualified goon richard grenell acting role cuz could get confirmed due zero expertise litterally say real prob german undermining wtf russia putin,0,8,NAM,28
although yet member partnered military alliance development angered putin view independent nation land lost result end cold war,0,21,NAM,35
discussing bit say know weekend speak massive buildup russia say nyet pulling back troop planned exercise nothing see statement whiz past via crimea,2,8,NAM,20
biden weak president putin would chill ppl combined russia,0,6,NAM,18
quite happy russia stay least american nuclear missile cause crisis america country must accept blame crisis caused,0,3,EUR,17
putin either going back hell going hit man sanction economy shit already bring troop dug damn hole jump,0,9,NAM,46
russia say begun partial troop pullback border urge caution,2,24,NAM,47
biden told putin try backed ukrainian force ready,0,9,NAM,1
unprecedented amount troop country near russian border say like style guide suggests sound much aggressive saying troop poland slovakia estonia,4,19,NAM,54
story tonight rush hour skeptical washington pushed back russia claim moving force away ukrainian border today ally accusing russia adding bringing back prof true,0,12,NAM,7
found newsbreak local news app used million people buying russia claim pulling troop away world peace,4,4,NAM,53
stoltenberg said intelligence showed russia would invade february russia moved troop back base military exercise stoltenberg insisted heading way amp intelligence used sentence warmongering,4,17,EUR,38
get piece eastern year pause put rest ambition get certain top secret assurance arctic russia many little detail ensure sovereignty,4,23,NAM,47
russia traditional legitimate security concern expansion putin main goal pushing towards russian style faux democracy ruled strongman oligarch putin fear losing grip power,0,23,NAM,31
russia middle east military buildup putin want watchman newscast,2,18,EUR,37
seen sign significant pullback russian troop ukrainian border tuesday russian president vladimir putin announced partial withdrawal russian troop surrounding,4,20,ASI,0
putin continue humiliate biden joke worn dont fooled russia surrender sea azov country threatening join,0,17,NAM,26
though doubt hope rush decimate putin troop arm border mean decimate literally time putin get memo expand border mile every foot russia step line,4,24,NAM,25
medium made bigger report read day russia action suggest military attack putin said interview conducting military exercise country right trying conquer world,0,9,NAM,111
putin claim want border russia invades call true,4,11,NAM,80
russia added many troop near border recent day contrary claim president vladimir putin troop would pulled back region,2,15,NAM,65
russia still building force border say top official,0,15,EUR,90
say russia building troop near withdrawing via,2,18,EUR,21
glad madam vice president kamala harris help make crystal clear amp ally putin wwiii democracy amp society many attack amp deceit,4,7,NAM,36
regarding russia take want country border surprise left poland border latvia estonia simply march take another country,4,6,NAM,89
sign withdrawal russian troop near chief say via,2,18,EUR,115
russia continuing build force near west say see moscow official question moscow statement troop withdrawal,2,18,NAM,89
official say seen evidence russia withdrawn troop npr,2,9,NAM,112
president biden warning american prepare economic pain russia invades administration decides levy sanction moscow response,0,16,NAM,60
told military commander wednesday draw plan new combat unit central southeastern europe accused russia sending troop area near instead withdrawi,0,12,NAM,26
scholz biden demand step towards russia statement,0,17,NAM,108
russia added many troop border recent day white house official,2,6,NAM,84
putin winning sitting troop russian territory waste time money running around like keystone cop probably good laugh incompetence diplos,4,10,NAM,97
perhaps know troop sent case country attacked diplomacy world going work putin want reclaim fever dream former ussr glory amp reason crazy,2,19,NAM,108
absolutely russia moved troop artillery arming fortifying polish border distract hillary powerful,4,6,NAM,14
imagine trusting putin say withdrawing troop people dragging sat image argument putin said isnt medium keep lying etc trustworthy like trusting good old kim,4,4,NAM,9
